Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Region,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
CA-2025-10001,2024-08-20,2024-08-22,Standard Class,CUST-173,Mrs. Amanda Garcia,Home Office,United States,Ronaldberg,Pennsylvania,East,Electronics,Laptops,Laptops - Model Throughout,1344.95,1,0.3,195.58
CA-2025-10002,2023-06-29,2023-07-02,Second Class,CUST-131,Grace Ortiz,Corporate,United States,Lake Jonathanfurt,Alaska,West,Electronics,Laptops,Laptops - Model Religious,1004.11,6,0.5,195.2
CA-2025-10003,2024-09-29,2024-10-04,Second Class,CUST-243,Samuel Lowe,Home Office,United States,Heatherbury,Mississippi,South,Electronics,Smartphones,Smartphones - Model Others,1124.59,6,0.5,214.33
CA-2025-10004,2023-01-25,2023-01-27,Second Class,CUST-196,Dennis Bentley,Consumer,United States,New Heatherview,California,East,Electronics,Laptops,Laptops - Model Degree,1253.09,6,0.3,134.57
CA-2025-10005,2024-08-11,2024-08-16,Same Day,CUST-243,Zachary Cantu,Consumer,United States,East Stephenberg,New Mexico,West,Electronics,Smartphones,Smartphones - Model Value,667.76,8,0.2,205.38
CA-2025-10006,2025-01-30,2025-02-01,First Class,CUST-254,Alexis Greene,Consumer,United States,Hensonport,Indiana,East,Electronics,Accessories,Accessories - Model Hand,1071.39,9,0.1,382.36
CA-2025-10007,2024-03-15,2024-03-20,First Class,CUST-119,Ricky Burke,Home Office,United States,Meganfurt,Colorado,East,Furniture,Tables,Tables - Model Ground,1380.89,9,0.3,209.08
CA-2025-10008,2023-03-20,2023-03-21,Second Class,CUST-265,Katie Greer,Corporate,United States,Port Evelyn,Oklahoma,South,Electronics,Audio,Audio - Model Price,327.32,4,0.0,102.41
CA-2025-10009,2025-01-29,2025-01-31,Same Day,CUST-141,Miranda Perez,Corporate,United States,Martinmouth,Oregon,South,Office Supplies,Storage,Storage - Model Business,1325.34,5,0.2,311.38
CA-2025-10010,2024-03-27,2024-03-28,Same Day,CUST-141,Brenda Morales,Corporate,United States,Jacksonshire,Maine,West,Electronics,Audio,Audio - Model Three,1393.41,2,0.1,378.61
CA-2025-10011,2024-08-13,2024-08-18,Standard Class,CUST-229,Daisy Williams,Home Office,United States,Catherineland,Texas,West,Electronics,Laptops,Laptops - Model Author,1022.2,4,0.2,300.18
CA-2025-10012,2024-02-26,2024-02-29,Standard Class,CUST-134,Michael Tate,Home Office,United States,Millerport,Ohio,East,Furniture,Tables,Tables - Model Father,1499.06,4,0.1,567.81
CA-2025-10013,2024-01-17,2024-01-18,First Class,CUST-227,Tyler Davis,Corporate,United States,Port Sharon,Virginia,Central,Office Supplies,Paper,Paper - Model Table,551.59,5,0.5,96.94
CA-2025-10014,2023-06-12,2023-06-16,Standard Class,CUST-235,Beverly Robinson,Consumer,United States,Adamstad,Minnesota,East,Furniture,Furnishings,Furnishings - Model Forget,536.12,4,0.0,89.63
CA-2025-10015,2025-04-25,2025-04-28,Standard Class,CUST-100,Stephanie Schroeder,Consumer,United States,Port Patrick,Washington,West,Office Supplies,Paper,Paper - Model Lay,469.18,4,0.1,176.21
CA-2025-10016,2024-09-08,2024-09-13,Second Class,CUST-253,Kaitlyn Morales,Corporate,United States,Davidmouth,Florida,Central,Electronics,Smartphones,Smartphones - Model Special,578.32,9,0.0,165.25
CA-2025-10017,2023-06-09,2023-06-12,Same Day,CUST-192,Jacqueline Gregory,Home Office,United States,West Barry,Tennessee,Central,Office Supplies,Art,Art - Model Nothing,536.76,2,0.5,53.43
CA-2025-10018,2023-04-04,2023-04-08,Standard Class,CUST-156,Valerie Carr,Corporate,United States,Jenniferburgh,Ohio,Central,Electronics,Audio,Audio - Model Degree,1082.65,4,0.0,489.84
CA-2025-10019,2024-01-29,2024-02-02,Standard Class,CUST-279,Crystal Dorsey,Corporate,United States,New Melissamouth,Vermont,West,Furniture,Furnishings,Furnishings - Model Growth,235.9,1,0.2,35.6
CA-2025-10020,2024-08-31,2024-09-03,Standard Class,CUST-197,Nancy Armstrong,Consumer,United States,New Diana,Wyoming,Central,Furniture,Chairs,Chairs - Model Writer,1011.5,3,0.1,325.09
CA-2025-10021,2023-08-30,2023-09-02,Second Class,CUST-294,Jerry Simpson,Home Office,United States,Katherinefort,Pennsylvania,West,Furniture,Bookcases,Bookcases - Model What,634.01,6,0.2,199.73
CA-2025-10022,2023-06-30,2023-07-05,Second Class,CUST-224,Justin Baxter,Home Office,United States,Stanleyton,Washington,South,Furniture,Bookcases,Bookcases - Model Physical,799.89,7,0.3,206.11
CA-2025-10023,2023-11-09,2023-11-10,Second Class,CUST-295,Angela Mueller,Home Office,United States,Johnsonburgh,Kansas,East,Furniture,Chairs,Chairs - Model Boy,529.34,6,0.0,160.3
CA-2025-10024,2025-12-19,2025-12-24,Standard Class,CUST-291,Samantha Smith,Corporate,United States,Lake Albert,New Hampshire,East,Office Supplies,Art,Art - Model Watch,795.58,6,0.2,190.58
CA-2025-10025,2025-10-30,2025-10-31,First Class,CUST-242,Richard Gomez,Home Office,United States,Brianberg,Ohio,Central,Electronics,Smartphones,Smartphones - Model Avoid,760.24,6,0.3,88.47
CA-2025-10026,2023-02-19,2023-02-20,Standard Class,CUST-183,Jennifer Clark,Home Office,United States,West Dana,North Dakota,East,Office Supplies,Paper,Paper - Model Pm,1047.64,5,0.1,321.12
CA-2025-10027,2023-12-12,2023-12-17,Second Class,CUST-232,Lisa Cook,Consumer,United States,Fergusonside,Utah,East,Office Supplies,Storage,Storage - Model Make,397.22,5,0.0,127.6
CA-2025-10028,2025-05-12,2025-05-16,First Class,CUST-161,Gerald Smith,Consumer,United States,Kimberlyshire,Alaska,Central,Electronics,Audio,Audio - Model Clearly,752.27,4,0.0,331.14
CA-2025-10029,2024-01-26,2024-01-27,Standard Class,CUST-217,Kenneth Jones,Home Office,United States,East Donald,Arkansas,South,Office Supplies,Binders,Binders - Model Play,1257.01,2,0.3,204.7
CA-2025-10030,2025-10-10,2025-10-15,Second Class,CUST-278,Paige Fernandez,Consumer,United States,Suarezland,Louisiana,Central,Electronics,Laptops,Laptops - Model Business,381.63,9,0.0,59.46
CA-2025-10031,2025-11-05,2025-11-07,First Class,CUST-297,Patricia Parker,Corporate,United States,Melissastad,Florida,East,Electronics,Accessories,Accessories - Model Later,1036.97,1,0.3,323.4
CA-2025-10032,2023-03-21,2023-03-24,Standard Class,CUST-193,Nicholas Walker,Corporate,United States,New Sarahton,Florida,Central,Furniture,Bookcases,Bookcases - Model Number,881.33,1,0.0,193.63
CA-2025-10033,2023-10-06,2023-10-09,Same Day,CUST-225,Mrs. Lisa Davis DVM,Corporate,United States,West Lisa,Hawaii,West,Electronics,Audio,Audio - Model To,236.21,5,0.5,19.99
CA-2025-10034,2025-12-19,2025-12-23,Second Class,CUST-225,James Gordon,Corporate,United States,North Lindashire,Oregon,Central,Office Supplies,Paper,Paper - Model Fact,1023.54,10,0.5,207.5
CA-2025-10035,2023-01-27,2023-02-01,Standard Class,CUST-149,George Serrano,Consumer,United States,Claudiaberg,Illinois,South,Electronics,Laptops,Laptops - Model Middle,413.16,8,0.0,141.36
CA-2025-10036,2024-08-10,2024-08-12,Second Class,CUST-104,Kimberly Black,Home Office,United States,Lake Jonathanburgh,Michigan,East,Electronics,Audio,Audio - Model Activity,303.17,1,0.1,83.72
CA-2025-10037,2023-08-11,2023-08-13,First Class,CUST-250,Danielle Walker,Home Office,United States,West Ronaldport,Nebraska,East,Office Supplies,Paper,Paper - Model Color,69.96,10,0.2,10.01
CA-2025-10038,2023-05-24,2023-05-27,Second Class,CUST-141,Michael Morales,Home Office,United States,Stevenhaven,North Dakota,West,Electronics,Audio,Audio - Model Major,77.0,2,0.3,14.1
CA-2025-10039,2025-12-01,2025-12-06,First Class,CUST-100,Jonathan Fernandez,Consumer,United States,Markton,New Hampshire,Central,Electronics,Laptops,Laptops - Model After,949.2,6,0.0,459.23
CA-2025-10040,2025-03-25,2025-03-28,Same Day,CUST-201,Jennifer Graham,Home Office,United States,Connerland,Iowa,Central,Office Supplies,Paper,Paper - Model Behind,833.46,10,0.5,85.55
CA-2025-10041,2023-10-28,2023-11-01,First Class,CUST-158,Anna Hernandez,Consumer,United States,North Cherylbury,Montana,East,Electronics,Laptops,Laptops - Model Relationship,1185.37,5,0.3,182.38
CA-2025-10042,2025-11-15,2025-11-16,Second Class,CUST-220,Scott Sanders,Home Office,United States,Mcgrathton,South Carolina,East,Office Supplies,Binders,Binders - Model Up,37.87,3,0.2,8.34
CA-2025-10043,2025-05-28,2025-05-29,Second Class,CUST-152,Tara Guerra,Home Office,United States,New Kimberlyburgh,Washington,West,Office Supplies,Paper,Paper - Model Long,1374.3,6,0.0,613.8
CA-2025-10044,2024-07-26,2024-07-29,Standard Class,CUST-129,Donna Garcia,Corporate,United States,Cordovahaven,New Mexico,West,Furniture,Tables,Tables - Model Game,1229.98,3,0.1,340.21
CA-2025-10045,2023-07-25,2023-07-29,First Class,CUST-273,Patricia Lynch,Home Office,United States,Morrisonville,North Carolina,Central,Office Supplies,Binders,Binders - Model Artist,435.42,2,0.0,88.8
CA-2025-10046,2025-03-05,2025-03-06,First Class,CUST-110,Brad Gregory,Consumer,United States,North Brian,Idaho,Central,Office Supplies,Art,Art - Model Whose,954.0,5,0.1,146.7
CA-2025-10047,2024-11-13,2024-11-17,First Class,CUST-277,Matthew Wyatt,Home Office,United States,Jessicashire,Arizona,East,Furniture,Furnishings,Furnishings - Model Many,1440.27,2,0.2,422.92
CA-2025-10048,2025-12-27,2025-12-31,First Class,CUST-225,Christian Thompson,Home Office,United States,Lake Shawnfurt,Ohio,West,Furniture,Bookcases,Bookcases - Model Oil,271.81,5,0.2,93.91
CA-2025-10049,2025-01-07,2025-01-12,Second Class,CUST-143,Adam Richards,Corporate,United States,New Annatown,Montana,South,Furniture,Bookcases,Bookcases - Model Energy,1157.32,1,0.5,219.66
CA-2025-10050,2023-09-17,2023-09-22,Same Day,CUST-171,Phillip Nash,Corporate,United States,New Alexanderland,Nevada,Central,Furniture,Bookcases,Bookcases - Model Candidate,1043.87,6,0.2,215.82
CA-2025-10051,2025-01-17,2025-01-22,Second Class,CUST-194,John Burns,Home Office,United States,North Ebonychester,South Carolina,South,Electronics,Accessories,Accessories - Model Challenge,1335.2,8,0.1,202.86
CA-2025-10052,2024-04-19,2024-04-20,Same Day,CUST-212,David Sherman,Consumer,United States,Ingrammouth,New York,East,Office Supplies,Binders,Binders - Model Operation,478.78,2,0.1,132.05
CA-2025-10053,2025-06-12,2025-06-13,Same Day,CUST-277,Lisa Krueger,Consumer,United States,Ricardohaven,Illinois,West,Electronics,Smartphones,Smartphones - Model Fly,1453.93,8,0.3,437.42
CA-2025-10054,2024-04-18,2024-04-20,Same Day,CUST-198,Lee Thomas,Corporate,United States,Port Charles,Alabama,South,Office Supplies,Storage,Storage - Model Require,1101.26,4,0.0,283.89
CA-2025-10055,2024-07-01,2024-07-02,First Class,CUST-199,Brittney Murphy,Corporate,United States,Meyerstad,Colorado,South,Furniture,Furnishings,Furnishings - Model Store,1308.1,1,0.1,177.34
CA-2025-10056,2025-09-02,2025-09-04,Standard Class,CUST-294,William Martinez,Corporate,United States,West Christopherbury,Ohio,Central,Electronics,Smartphones,Smartphones - Model Catch,663.6,1,0.1,167.2
CA-2025-10057,2023-02-10,2023-02-15,Second Class,CUST-257,Lisa Schaefer,Home Office,United States,Ballardborough,Connecticut,Central,Electronics,Laptops,Laptops - Model All,49.67,2,0.5,4.78
CA-2025-10058,2023-10-02,2023-10-05,Same Day,CUST-104,Kenneth Castillo,Corporate,United States,North Selenaburgh,South Carolina,East,Office Supplies,Binders,Binders - Model American,428.68,7,0.1,117.22
CA-2025-10059,2024-08-18,2024-08-19,First Class,CUST-114,Zachary Freeman,Consumer,United States,Reevesborough,Ohio,South,Electronics,Laptops,Laptops - Model Team,301.32,6,0.1,64.51
CA-2025-10060,2023-05-12,2023-05-14,First Class,CUST-256,Connie Villegas,Consumer,United States,Christinaview,North Carolina,South,Electronics,Accessories,Accessories - Model Game,227.42,9,0.0,54.07
CA-2025-10061,2023-03-20,2023-03-24,Standard Class,CUST-237,Jack Davis,Corporate,United States,Geraldport,Pennsylvania,West,Electronics,Laptops,Laptops - Model Always,670.3,7,0.3,143.76
CA-2025-10062,2023-12-19,2023-12-24,Same Day,CUST-257,Thomas Moore,Home Office,United States,New Christine,Nevada,East,Furniture,Furnishings,Furnishings - Model Quite,546.8,5,0.0,97.29
CA-2025-10063,2025-01-01,2025-01-04,Standard Class,CUST-231,Ann Sellers,Consumer,United States,Kristinbury,New York,West,Furniture,Furnishings,Furnishings - Model Will,701.93,10,0.0,194.72
CA-2025-10064,2024-11-11,2024-11-14,Standard Class,CUST-100,Daniel Jackson,Home Office,United States,Davidberg,Idaho,East,Electronics,Accessories,Accessories - Model Control,663.78,5,0.2,93.12
CA-2025-10065,2023-11-08,2023-11-13,Standard Class,CUST-150,Mario Carter,Corporate,United States,Millerton,Alabama,West,Office Supplies,Art,Art - Model Increase,754.4,8,0.2,152.87
CA-2025-10066,2024-01-05,2024-01-08,Second Class,CUST-286,Gregory Carter,Home Office,United States,Rhodesville,North Carolina,Central,Furniture,Tables,Tables - Model Effect,439.53,6,0.3,135.27
CA-2025-10067,2024-01-01,2024-01-05,Same Day,CUST-299,Andrea Wolfe,Home Office,United States,Hobbsbury,Illinois,East,Furniture,Chairs,Chairs - Model Tonight,987.43,5,0.2,321.01
CA-2025-10068,2024-02-19,2024-02-23,Second Class,CUST-289,Gregory Shepherd,Home Office,United States,East Carolyn,Delaware,Central,Furniture,Bookcases,Bookcases - Model Interest,743.69,1,0.1,226.59
CA-2025-10069,2025-05-29,2025-06-02,First Class,CUST-164,Stephanie Solis,Corporate,United States,New Stacy,Iowa,South,Furniture,Chairs,Chairs - Model Actually,105.25,3,0.0,17.7
CA-2025-10070,2024-11-04,2024-11-07,First Class,CUST-198,Stephanie Schmitt,Home Office,United States,East Patrickview,Florida,East,Furniture,Tables,Tables - Model Camera,1124.78,5,0.5,232.95
CA-2025-10071,2024-04-25,2024-04-29,Same Day,CUST-151,Jeffrey Jones,Consumer,United States,Gillbury,Minnesota,South,Furniture,Bookcases,Bookcases - Model Reality,848.94,7,0.1,247.47
CA-2025-10072,2023-09-30,2023-10-02,Standard Class,CUST-264,Benjamin Meadows,Home Office,United States,North Kathyshire,Oklahoma,East,Office Supplies,Art,Art - Model Less,878.96,9,0.3,95.73
CA-2025-10073,2024-12-21,2024-12-23,Same Day,CUST-111,John Griffith,Consumer,United States,Lake Daniel,South Carolina,South,Office Supplies,Binders,Binders - Model Hear,1355.89,8,0.0,434.12
CA-2025-10074,2024-05-23,2024-05-25,First Class,CUST-132,Stephanie Hayden,Consumer,United States,West Bobbyberg,West Virginia,South,Electronics,Accessories,Accessories - Model Administration,1226.2,5,0.5,269.03
